"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Practice Test application","4","0","","0"
"0","","0","Parabank application register user","0","1","","0"
"0","","0","Test Api","0","8","","0"
"0","","0","Examples for simple parameters, text parameters and table parameters","0","4","","0"
"0","","0","Excel Utilities example","0","10","","0"
"0","","0","My bag application","0","28","","0"
"0","","0","Test Initialize","0","2","","0"
"0","","0","Scenario outline example","0","5","","0"
"0","","0","Test Parabank Api","0","1","","0"
"1","","0","Parabank application","3","7","","0"
"0","","0","Background example","0","2","","0"
